Title,Impact factor,Publisher,Categories
Clinical Child Psychology and Psychiatry,,,
Clinical Colorectal Cancer,,,
Clinical Diabetes,,,
Clinical Diabetology,,,
Clinical Drug Investigation,,,
Clinical Dysmorphology,,,
Clinical EEG and Neuroscience,,,
Clinical Endocrinology,,,
Clinical Endoscopy,,,
Clinical Epidemiology,,,
Clinical Epidemiology and Global Health,,,
Clinical Epigenetics,,,
Clinical Ethics,,,
Clinical Gastroenterology and Hepatology,,,
Clinical Genetics,,,
Clinical Genitourinary Cancer,,,
Clinical Gerontologist,,,
Clinical Hemorheology and Microcirculation,,,
Clinical Imaging,,,
Clinical Immunology,,,
Clinical Implant Dentistry and Related Research,,,
Clinical Infectious Diseases,,,
Clinical Interventions in Aging,,,
Clinical Journal of Gastroenterology,,,
Clinical Journal of Oncology Nursing,,,
Clinical Journal of Pain,,,
Clinical Journal of Sport Medicine,,,
Clinical journal of the American Society of Nephrology : CJASN,,,
Clinical Kinesiology,,,
Clinical Laboratory,,,
Clinical Lactation,,,
Clinical Linguistics and Phonetics,,,
Clinical Lipidology and Metabolic Disorders,,,
Clinical Liver Disease,,,
Clinical Lung Cancer,,,
"Clinical Lymphoma	 Myeloma and Leukemia",,,
Clinical Mass Spectrometry,,,
Clinical Medicine,,,
Clinical Medicine and Research,,,
Clinical Medicine Insights: Arthritis and Musculoskeletal Disorders,,,
Clinical Medicine Insights: Blood Disorders,,,
Clinical Medicine Insights: Cardiology,,,
Clinical Medicine Insights: Case Reports,,,
"Clinical Medicine Insights: Circulatory	 Respiratory and Pulmonary Medicine",,,
Clinical Medicine Insights: Endocrinology and Diabetes,,,
Clinical Medicine Insights: Gastroenterology,,,
Clinical Medicine Insights: Geriatrics,,,
Clinical Medicine Insights: Oncology,,,
Clinical Medicine Insights: Therapeutics,,,
Clinical Microbiology and Infection,,,
Clinical Microbiology Newsletter,,,
Clinical Microbiology Reviews,,,
Clinical Nephrology,,,
Clinical Neurology,,,
Clinical Neurology and Neurosurgery,,,
Clinical Neuropathology,,,
Clinical Neuropharmacology,,,
Clinical Neurophysiology,,,
Clinical Neurophysiology Practice,,,
Clinical Neuropsychiatry,,,
Clinical Neuropsychologist,,,
Clinical Neuroradiology,,,
Clinical Neurosurgery,,,
Clinical Nuclear Medicine,,,
Clinical Nurse Specialist,,,
Clinical Nursing Research,,,
Clinical Nutrition,,,
Clinical Nutrition ESPEN,,,
Clinical Nutrition Experimental,,,
Clinical obesity,,,
Clinical Obstetrics and Gynecology,,,
Clinical Oncology,,,
Clinical Ophthalmology,,,
Clinical Optometry,,,
Clinical Oral Implants Research,,,
Clinical Oral Investigations,,,
Clinical Orthopaedics and Related Research,,,
Clinical Osteology,,,
Clinical Otolaryngology,,,
Clinical Pathology,,,
Clinical Pediatric Emergency Medicine,,,
Clinical Pediatric Endocrinology,,,
Clinical Pediatrics,,,
Clinical Pharmacist,,,
Clinical Pharmacokinetics,,,
Clinical Pharmacology and Therapeutics,,,
Clinical Pharmacology in Drug Development,,,
Clinical Pharmacology: Advances and Applications,,,
Clinical Physiology and Functional Imaging,,,
Clinical Plasma Medicine,,,
Clinical Practice,,,
Clinical Practice and Epidemiology in Mental Health,,,
Clinical Practice in Pediatric Psychology,,,
Clinical privilege white paper,,,
Clinical Proteomics,,,
Clinical Psychological Science,,,
Clinical Psychologist,,,
Clinical Psychology and Psychotherapy,,,
Clinical Psychology Forum,,,
Clinical Psychology Review,,,
Clinical Psychology: Science and Practice,,,
Clinical Psychopharmacology and Neuroscience,,,
Clinical Pulmonary Medicine,,,
Clinical Radiology,,,
Clinical Rehabilitation,,,
Clinical Research in Cardiology,,,
Clinical Research in Cardiology Supplements,,,
Clinical Respiratory Journal,,,
Clinical Reviews in Allergy and Immunology,,,
Clinical Reviews in Bone and Mineral Metabolism,,,
Clinical Rheumatology,,,
Clinical Risk,,,
Clinical Sarcoma Research,,,
Clinical Schizophrenia and Related Psychoses,,,
Clinical Science,,,
Clinical Simulation in Nursing,,,
Clinical Skin Cancer,,,
Clinical Social Work Journal,,,
Clinical Spine Surgery,,,
"Clinical Supervisor	 The",,,
Clinical Teacher,,,
Clinical Therapeutics,,,
Clinical Toxicology,,,
Clinical Transplantation,,,
Clinical Trials,,,
Clinical Trials and Regulatory Science in Cardiology,,,
"Clinical	 Cosmetic and Investigational Dentistry",,,
"Clinical	 Cosmetic and Investigational Dermatology",,,
ClinicoEconomics and Outcomes Research,,,
Clinics,,,
Clinics and Research in Hepatology and Gastroenterology,,,
Clinics in Chest Medicine,,,
Clinics in Colon and Rectal Surgery,,,
Clinics in Dermatology,,,
Clinics in Geriatric Medicine,,,
Clinics in Laboratory Medicine,,,
Clinics in Liver Disease,,,
Clinics in Orthopedic Surgery,,,
Clinics in Perinatology,,,
Clinics in Plastic Surgery,,,
Clinics in Podiatric Medicine and Surgery,,,
Clinics in Sports Medicine,,,
Cliniques Mediterraneennes,,,
Clio,,,
"Clio: Histoire	 Femmes et Societes",,,
Cliodynamics,,,
Cliometrica,,,
CLOSER 2017 - Proceedings of the 7th International Conference on Cloud Computing and Services Science,,,
CLOSER 2019 - Proceedings of the 9th International Conference on Cloud Computing and Services Science,,,
Clothing and Textiles Research Journal,,,
Clothing Cultures,,,
Cluster Computing,,,
CMAJ,,,
CME,,,
CMES - Computer Modeling in Engineering and Sciences,,,
CMG IMPACT 2019,,,
CNS and Neurological Disorders - Drug Targets,,,
CNS Drugs,,,
CNS Neuroscience and Therapeutics,,,
CNS oncology,,,
CNS Spectrums,,,
Coaching,,,
Coal Age,,,
Coal International,,,
Coastal Engineering,,,
Coastal Engineering Journal,,,
Coastal Management,,,
Coating International,,,
Coatings,,,
CoatingsTech,,,
Cochlear Implants International,,,
Cochrane Database of Systematic Reviews,,,
"CoCoS 2017 - Proceedings of the 2nd ACM SIGPLAN International Workshop on Comprehension of Complex Systems	 co-located with SPLASH 2017",,,
Cocuk Cerrahisi Dergisi,,,
Cocuk Enfeksiyon Dergisi,,,
Cocuk Sagligi ve Hastaliklari Dergisi,,,
CoDAS,,,
CODASPY 2017 - Proceedings of the 7th ACM Conference on Data and Application Security and Privacy,,,
CODASPY 2019 - Proceedings of the 9th ACM Conference on Data and Application Security and Privacy,,,
CoDesign,,,
Codrul Cosminului,,,
Coffee Science,,,
Cogency,,,
Cogent Arts and Humanities,,,
Cogent Business and Management,,,
Cogent Economics and Finance,,,
Cogent Education,,,
Cogent Engineering,,,
Cogent Medicine,,,
Cogent Psychology,,,
Cogent Social Sciences,,,
Cogitare Enfermagem,,,
Cogito,,,
Cognition,,,
Cognition and Emotion,,,
Cognition and Instruction,,,
"Cognition	 Brain	 Behavior",,,
"Cognition	 Brain	 Behavior. An Interdisciplinary Journal",,,
"Cognition	 Technology and Work",,,
Cognitive and Behavioral Neurology,,,
Cognitive and Behavioral Practice,,,
Cognitive Behaviour Therapist,,,
Cognitive Behaviour Therapy,,,
Cognitive Computation,,,
Cognitive Development,,,
Cognitive Linguistics,,,
Cognitive Neurodynamics,,,
Cognitive Neuropsychiatry,,,
Cognitive Neuropsychology,,,
Cognitive Neuroscience,,,
Cognitive Processing,,,
Cognitive Psychology,,,
Cognitive Research: Principles and Implications,,,
Cognitive Science,,,
Cognitive Semantics,,,
Cognitive Studies,,,
Cognitive Systems Research,,,
Cognitive Therapy and Research,,,
"Cognitive	 Affective and Behavioral Neuroscience",,,
Co-herencia,,,
Coke and Chemistry,,,
Cold Regions Science and Technology,,,
Cold Spring Harbor molecular case studies,,,
Cold Spring Harbor perspectives in biology,,,
Cold Spring Harbor perspectives in medicine,,,
Cold Spring Harbor Protocols,,,
Cold Spring Harbor Symposia on Quantitative Biology,,,
Cold War History,,,
Coleopterists Bulletin,,,
Collabra: Psychology,,,
Collectanea Botanica,,,
Collectanea Christiana Orientalia,,,
Collectanea Mathematica,,,
Collectanea Theologica,,,
Collected Courses of the Xiamen Academy of International Law,,,
Collection and Curation,,,
Collection Management,,,
College and Research Libraries,,,
College and Research Libraries News,,,
College and Undergraduate Libraries,,,
College Composition and Communication,,,
College English,,,
College Literature,,,
College Mathematics Journal,,,
College Teaching,,,
Collegian,,,
Collegiate Aviation Review,,,
Collegium Antropologicum,,,
Colloid and Polymer Science,,,
Colloid Journal,,,
Colloids and Interface Science Communications,,,
Colloids and Surfaces A: Physicochemical and Engineering Aspects,,,
Colloids and Surfaces B: Biointerfaces,,,
Colloquia,,,
Colloquia Germanica,,,
Colloquia Humanistica,,,
Colloquia Maruliana,,,
"Colloquium in Information Science and Technology	 CIST",,,
Colloquium Mathematicum,,,
Colombia Forestal,,,
Colombia Internacional,,,
Colombia Medica,,,
Colombian Journal of Anesthesiology,,,
Colon and Rectum,,,
Colonial Latin American Review,,,
Coloproctology,,,
Coloquio-Letras,,,
Color Research and Application,,,
Coloration Technology,,,
Colorectal Disease,,,
Colourage (discontinued),,,
Columbia Journal of Law and Social Problems,,,
Columbia Journal of Transnational Law,,,
Columbia Law Review,,,
Columbia Studies in the Classical Tradition,,,
Coluna/ Columna,,,
Combinatorial Chemistry and High Throughput Screening,,,
Combinatorica,,,
Combinatorics Probability and Computing,,,
Combustible Dust Safety 2018 - Topical at the 8th World Congress on Particle Technology,,,
Combustion and Flame,,,
Combustion Science and Technology,,,
Combustion Theory and Modelling,,,
"Combustion	 Explosion and Shock Waves",,,
Comedy Studies,,,
Comics Grid,,,
Comitatus,,,
Comma,,,
Commentaria,,,
Commentarii Mathematici Helvetici,,,
Commentationes Mathematicae Universitatis Carolinae,,,
Comments on Inorganic Chemistry,,,
Common Knowledge,,,
Common Market Law Review,,,
Commonwealth and Comparative Politics,,,
Commonwealth Law Bulletin,,,
Communicable diseases intelligence (2018),,,
Communicable diseases intelligence quarterly report,,,
Communicatio,,,
"Communication and Computing Systems - Proceedings of the International Conference on Communication and Computing Systems	 ICCCS 2016",,,
Communication and Critical/ Cultural Studies,,,
Communication and Management,,,
Communication and Medicine,,,
Communication and Sport,,,
Communication and the Public,,,
Communication Booknotes Quarterly,,,
Communication Disorders Quarterly,,,
Communication Education,,,
Communication Law and Policy,,,
Communication Methods and Measures,,,
Communication Monographs,,,
Communication Quarterly,,,
Communication Reports,,,
Communication Research,,,
Communication Research and Practice,,,
Communication Research Reports,,,
Communication Review,,,
Communication Sciences and Disorders,,,
Communication Studies,,,
Communication Teacher,,,
Communication Theory,,,
Communication Today,,,
"Communication	 Culture and Critique",,,
"Communication	 Electromagnetics and Medical Application",,,
"Communication	 Management and Information Technology - Proceedings of the International Conference on Communication	 Management and Information Technology	 ICCMIT 2016",,,
Communications,,,
Communications - Scientific Letters of the University of Zilina,,,
Communications Biology,,,
Communications Chemistry,,,
Communications for Statistical Applications and Methods,,,
Communications in Algebra,,,
Communications in Analysis and Geometry,,,
Communications in Applied and Industrial Mathematics,,,
Communications in Applied Mathematics and Computational Science,,,
Communications in Computational Physics,,,
Communications in Computer and Information Science,,,
Communications in Contemporary Mathematics,,,
Communications in Information Literacy,,,
Communications in Mathematical Analysis,,,
Communications in Mathematical Biology and Neuroscience,,,
Communications in Mathematical Physics,,,
Communications in Mathematical Sciences,,,
Communications in Mathematics,,,
Communications in Mathematics and Statistics,,,
Communications in Nonlinear Science and Numerical Simulation,,,
Communications in Number Theory and Physics,,,
Communications in Partial Differential Equations,,,
Communications in Science and Technology,,,
Communications in Soil Science and Plant Analysis,,,
Communications in Statistics - Theory and Methods,,,
Communications in Statistics Case Studies Data Analysis and Applications,,,
Communications in Statistics Part B: Simulation and Computation,,,
Communications in Theoretical Physics,,,
Communications Law,,,
Communications of the ACM,,,
Communications of the Association for Information Systems,,,
Communications of the Korean Mathematical Society,,,
Communications on Applied Nonlinear Analysis,,,
Communications on Pure and Applied Analysis,,,
Communications on Pure and Applied Mathematics,,,
Communications on Stochastic Analysis,,,
Communications Physics,,,
Communicative and Integrative Biology,,,
Communio Viatorum,,,
Communiquer,,,
Communist and Post-Communist Studies,,,
Communitas,,,
"Communities in New Media: Research on Knowledge Communities in Science	 Business	 Education and Public Administration - Proceedings of 21th Conference GeNeMe",,,
"Communities in New Media: Researching the Digital Transformation in Science	 Business	 Education and Public Administration - Proceedings of 22nd Conference GeNeMe",,,
Community and Junior College Libraries,,,
Community College Journal of Research and Practice,,,
Community College Review,,,
Community Dental Health,,,
Community Dentistry and Oral Epidemiology,,,
Community Development,,,
Community Development Journal,,,
Community Ecology,,,
Community Eye Health Journal,,,
Community Mental Health Journal,,,
Community Practitioner,,,
Community Psychology in Global Perspective.,,,
"Community	 Work and Family",,,
Comnet 2018 - 7th International Conference on Communications and Networking,,,
COMODIA 2017 - 9th International Conference on Modeling and Diagnostics for Advanved Engine Systems,,,
Companion Proceedings for the ISSTA/ECOOP 2018 Workshops,,,
Comparative American Studies,,,
Comparative and Continental Philosophy,,,
Comparative Biochemistry and Physiology - B Biochemistry and Molecular Biology,,,
Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,,,
Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology,,,
"Comparative biochemistry and physiology. Part A	 Molecular and integrative physiology",,,
Comparative Clinical Pathology,,,
Comparative Cognition and Behavior Reviews,,,
Comparative Critical Studies,,,
Comparative Cytogenetics,,,
Comparative Drama,,,
Comparative Economic Research,,,
Comparative Economic Studies,,,
Comparative Education,,,
Comparative Education Review,,,
Comparative European Politics,,,
Comparative Exercise Physiology,,,
"Comparative Immunology	 Microbiology and Infectious Diseases",,,
Comparative Law Review,,,
Comparative Legal History,,,
Comparative Literature,,,
Comparative Literature Studies,,,
Comparative Medicine,,,
Comparative Migration Studies,,,
